response_date,nps_score,comment,channel,member_segment,member_tenure_years
2024-04-29,7,,branch,youth,22.9
2024-10-21,9,"Quick and efficient service, the staff managed the queue well.",branch,youth,14.6
2024-09-10,10,The high-yield savings product is genuinely competitive. Very happy.,mobile,senior,5.7
2024-06-30,3,There is no ATM within walking distance of my neighborhood.,phone,retail,15.4
2024-01-01,3,The monthly maintenance fee is too high for a basic checking account.,mobile,senior,19.8
2024-08-01,9,"Rate was locked in immediately during the application, no surprises at closing.",mobile,senior,11.5
2024-04-22,8,Got a better mortgage rate here than anywhere else I shopped.,online,retail,14.2
2024-11-06,9,"Quick and efficient service, the staff managed the queue well.",online,senior,11.3
2024-07-06,8,,phone,small_business,6.8
2024-03-28,4,Staff seemed uninterested in helping. Felt like I was bothering them.,mobile,small_business,11.8
2024-11-26,0,,phone,senior,1.3
2024-04-21,6,"The teller line was incredibly long today, waited over 45 minutes just to make a deposit.",branch,youth,1.9
2024-12-19,3,The mobile app keeps crashing when I try to view my statement. Very frustrating.,phone,senior,24.9
2024-08-28,0,Interest rate on my personal loan was higher than other banks offered.,branch,youth,6.0
2024-08-29,8,ATM fee reimbursement policy is excellent. Use any ATM for free.,mobile,senior,5.2
2024-12-23,4,Too much paperwork required for a small personal loan. Overly bureaucratic.,branch,small_business,17.9
2024-02-25,5,Got a letter about policy changes but it was confusing legal jargon.,phone,senior,10.2
2024-06-18,1,Credit card APR is too high. Will be transferring my balance elsewhere.,mobile,youth,16.9
2024-10-10,3,Never received a notification when my account balance was low. Got hit with overdraft.,branch,small_business,7.0
2024-02-11,7,ATM fee reimbursement policy is excellent. Use any ATM for free.,mobile,senior,17.5
2024-02-08,8,Every staff member I interacted with was friendly and professional.,online,senior,17.4
2024-04-06,10,Refinancing my home loan was quick and the rate was excellent.,mobile,senior,6.2
2024-08-27,9,Got a better mortgage rate here than anywhere else I shopped.,branch,retail,17.2
2024-04-23,10,,branch,senior,22.8
2024-04-30,4,Wire transfer fee is  per transaction. Way too expensive.,mobile,retail,15.7
2024-07-15,6,Had to submit the same documents three times. Very disorganized process.,branch,small_business,9.8
2024-02-29,10,The app notifications keep me on top of my spending. Really helpful.,phone,small_business,14.7
2024-10-24,4,The new teller made an error and was unapologetic about it.,phone,senior,24.9
2024-11-13,4,,mobile,retail,22.6
2024-05-15,9,The app notifications keep me on top of my spending. Really helpful.,mobile,small_business,4.8
2024-07-18,3,Got a letter about policy changes but it was confusing legal jargon.,online,youth,10.9
2024-05-21,7,Face ID login on the app is seamless. Saves so much time.,phone,small_business,16.1
2024-06-02,9,Recent app redesign is clean and much easier to use than before.,online,youth,10.4
2024-03-25,3,The ATM at the main branch is out of service more often than not.,online,small_business,23.3
2024-08-07,7,Text and email alerts are timely and easy to customize. Very useful.,online,small_business,1.7
2024-11-16,9,I was surprised how quickly I was helped at the branch. No wait at all.,mobile,senior,3.3
2024-12-06,6,Wish the app had more features like budget tracking. Competitors have this.,phone,retail,18.1
2024-02-02,8,Refinancing my home loan was quick and the rate was excellent.,mobile,small_business,0.7
2024-07-27,8,Text and email alerts are timely and easy to customize. Very useful.,branch,senior,9.2
2024-11-21,6,Wire transfer fee is  per transaction. Way too expensive.,online,small_business,11.2
2024-11-28,8,My mortgage was approved in 3 days! Incredibly fast and smooth process.,online,retail,6.6
2024-07-07,8,The loan officer walked me through every step. Felt very supported.,branch,small_business,24.1
2024-03-21,4,Charged twice for the same service and it took weeks to get a refund.,phone,retail,16.9
2024-08-31,9,Greeted by name when I walked in. That small touch means a lot.,mobile,youth,19.3
2024-09-24,6,ATM machine swallowed my card and the fix took 5 business days.,phone,senior,11.9
2024-07-24,9,Proactive fraud alert saved me. Impressed with how fast the team reached out.,branch,small_business,4.2
2024-04-27,9,,phone,small_business,16.1
2024-12-17,0,,online,youth,19.5
2024-05-08,6,ATM fees add up quickly if you are not careful. Needs more free ATMs.,branch,retail,16.0
2024-02-24,5,My loan rate keeps fluctuating in ways I do not understand.,mobile,youth,7.4
2024-03-30,4,My small business loan application was rejected with no clear explanation.,online,youth,4.9
2024-01-20,4,,online,retail,2.9
2024-06-29,8,My mortgage was approved in 3 days! Incredibly fast and smooth process.,online,senior,13.7
2024-10-26,6,The mobile app keeps crashing when I try to view my statement. Very frustrating.,branch,senior,12.2
2024-10-15,6,Got charged an inactivity fee I had no idea existed. Very misleading.,branch,small_business,3.4
2024-04-28,7,Face ID login on the app is seamless. Saves so much time.,mobile,youth,3.4
2024-04-25,5,Wish the app had more features like budget tracking. Competitors have this.,phone,small_business,2.2
2024-05-07,10,Waived my overdraft fee as a one-time courtesy. Really appreciated that.,branch,senior,20.3
2024-12-03,6,,phone,retail,14.4
2024-02-05,10,Waived my overdraft fee as a one-time courtesy. Really appreciated that.,branch,retail,23.8
2024-07-29,5,Mobile check deposit feature is broken. Keeps saying image is too blurry.,mobile,small_business,4.8
2024-10-08,3,ATM fees add up quickly if you are not careful. Needs more free ATMs.,online,youth,8.0
2024-06-02,4,Communication about the branch closure was very last-minute and unhelpful.,branch,retail,11.7
2024-01-27,8,Staff are knowledgeable and patient. Never feel rushed.,online,retail,20.6
2024-06-03,6,"The teller line was incredibly long today, waited over 45 minutes just to make a deposit.",branch,retail,9.0
2024-08-02,5,ATM machine swallowed my card and the fix took 5 business days.,phone,youth,5.5
2024-10-01,6,No one told me my direct deposit setup failed until payday. Unacceptable.,mobile,small_business,5.8
2024-06-01,6,The mobile app keeps crashing when I try to view my statement. Very frustrating.,online,small_business,11.4
2024-08-07,9,No monthly fee if you maintain a low minimum balance. Very fair.,branch,youth,0.8
2024-05-03,5,Never received a notification when my account balance was low. Got hit with overdraft.,online,senior,19.9
2024-10-15,10,The high-yield savings product is genuinely competitive. Very happy.,branch,small_business,12.9
2024-07-29,7,The app is intuitive and easy to navigate. Best banking app I have used.,online,senior,10.0
2024-01-31,9,Love that your ATMs are in most grocery stores near me.,branch,small_business,15.8
2024-09-30,2,The teller was rude and dismissive when I asked a simple question.,branch,retail,14.1
2024-08-05,5,ATM machine swallowed my card and the fix took 5 business days.,online,youth,5.4
2024-07-29,9,Student checking has no fees at all. Perfect for my situation.,branch,retail,2.0
2024-08-26,4,The ATM at the main branch is out of service more often than not.,mobile,senior,10.0
2024-02-24,10,Greeted by name when I walked in. That small touch means a lot.,phone,small_business,4.2
